"","estado","ano","turno","situacao","quantidade","proporcao"
"136","Mato Grosso",1989,2,"VALIDOS",740275,0.720131482180449
"137","Mato Grosso",1994,1,"VALIDOS",771413,0.603117802230107
"138","Mato Grosso",2002,1,"VALIDOS",1251381,0.72333242005015
"139","Mato Grosso",2002,2,"VALIDOS",1191795,0.688890083478707
"140","Mato Grosso",2006,1,"VALIDOS",1441636,0.371503965942884
"141","Mato Grosso",2006,2,"VALIDOS",1431161,0.368804599359883
"142","Mato Grosso",2010,1,"VALIDOS",1536593,0.733796331670194
"143","Mato Grosso",2010,2,"VALIDOS",1492652,0.712787563183317
"144","Mato Grosso",2014,1,"VALIDOS",1558787,0.712333368216085
"145","Mato Grosso",2014,2,"VALIDOS",1582229,0.723025060936433
"146","Mato Grosso",1998,1,"VALIDOS",908053,0.598801411981
"147","Minas Gerais",1989,1,"VALIDOS",7756892,0.822305449224926
"148","Minas Gerais",1989,2,"VALIDOS",7756892,0.822305449224926
"149","Minas Gerais",1994,1,"VALIDOS",6998847,0.662785983630845
"150","Minas Gerais",1998,1,"VALIDOS",7588797,0.642291956036568
"151","Minas Gerais",2002,1,"VALIDOS",9413131,0.74232629979818
"152","Minas Gerais",2002,2,"VALIDOS",9608650,0.757745069154544
"153","Minas Gerais",2006,1,"VALIDOS",10220573,0.373566109233963
"154","Minas Gerais",2006,2,"VALIDOS",10443645,0.381719481762004
"155","Minas Gerais",2010,1,"VALIDOS",10785588,0.743119542916483
"156","Minas Gerais",2010,2,"VALIDOS",10642419,0.733246254869312
"157","Minas Gerais",2014,1,"VALIDOS",11106883,0.728961778688102
"158","Minas Gerais",2014,2,"VALIDOS",11408243,0.74871489645109
"159","Pará",1989,1,"VALIDOS",1525326,0.697498504699906
"160","Pará",1989,2,"VALIDOS",1525326,0.697498504699906
"161","Pará",1994,1,"VALIDOS",1484952,0.533554475157655
"162","Pará",1998,1,"VALIDOS",1796838,0.557889429200026
"163","Pará",2002,1,"VALIDOS",2532141,0.70945886880673
"164","Pará",2002,2,"VALIDOS",2502096,0.700998197702484
